ip,timestamp,method,url,status,response_size
dmcglew.gsfc.nasa.gov,01/Aug/1995:07:46:15 -0400,GET,/elv/DELTA/uncons.htm,404,
spc.tiac.net,01/Aug/1995:07:48:47 -0400,GET,/pub/winvn/readme.txt,404,
spc.tiac.net,01/Aug/1995:07:49:06 -0400,GET,/pub/winvn/release.txt,404,
198.5.176.180,01/Aug/1995:08:04:52 -0400,GET,/shuttle/technology/sts_newsreflsts_ovcomm.html,404,
198.5.176.180,01/Aug/1995:08:07:51 -0400,GET,/shuttle/technology/sts_newsreflsts_ovcomm.html,404,
dick.larc.nasa.gov,01/Aug/1995:08:17:18 -0400,GET,/l,404,
165.212.158.111,01/Aug/1995:08:26:23 -0400,GET,/ksc/html,404,
edams.ksc.nasa.gov,01/Aug/1995:08:32:09 -0400,GET,/\\yahoo.com,404,
192.112.239.3,01/Aug/1995:08:34:08 -0400,GET,/MDSS/,404,
153.78.100.30,01/Aug/1995:08:36:46 -0400,GET,/M/on-this-day,404,
153.78.100.30,01/Aug/1995:08:36:52 -0400,GET,/M/on-this-day,404,
153.78.100.30,01/Aug/1995:08:36:54 -0400,GET,/M/on-this-day,404,
153.78.100.30,01/Aug/1995:08:36:55 -0400,GET,/M/on-this-day,404,
153.78.100.30,01/Aug/1995:08:36:57 -0400,GET,/M/on-this-day,404,
153.78.100.30,01/Aug/1995:08:36:59 -0400,GET,/M/on-this-day,404,
jarrett-mac.mac.cc.cmu.edu,01/Aug/1995:08:37:30 -0400,GET,/history/apollo/sa-1/sa-1-patch-small.gif,404,
jarrett-mac.mac.cc.cmu.edu,01/Aug/1995:08:37:43 -0400,GET,/history/apollo/sa-1/images/,404,
jarrett-mac.mac.cc.cmu.edu,01/Aug/1995:08:37:49 -0400,GET,/history/apollo/sa-1/sa-1-patch-small.gif,404,
jarrett-mac.mac.cc.cmu.edu,01/Aug/1995:08:38:04 -0400,GET,/history/apollo/sa-1/movies/,404,
jarrett-mac.mac.cc.cmu.edu,01/Aug/1995:08:38:20 -0400,GET,/history/apollo/sa-1/docs/,404,
jarrett-mac.mac.cc.cmu.edu,01/Aug/1995:08:38:24 -0400,GET,/history/apollo/sa-1/sa-1-patch-small.gif,404,
